Bank Name,City,ST,CERT,Acquiring Institution,Closing date,Closing year,Closing month and date,Updated Date,Updated year ,Updated month and date 
NOVA Bank,Berwyn,PA,27148,No Acquirer,2012/10/26,2012,10/26,2013/1/24,2013,1/24
Excel Bank,Sedalia,MO,19189,Simmons First National Bank,2012/10/19,2012,10/19,2013/10/22,2013,10/22
First East Side Savings Bank,Tamarac,FL,28144,Stearns Bank N.A.,2012/10/19,2012,10/19,2016/1/6,2016,1/6
GulfSouth Private Bank,Destin,FL,58073,SmartBank,2012/10/19,2012,10/19,2014/3/21,2014,3/21
First United Bank,Crete,IL,20685,"Old Plank Trail Community Bank, National Association",2012/9/28,2012,9/28,2013/11/1,2013,11/1
Truman Bank,St. Louis,MO,27316,Simmons First National Bank,2012/9/14,2012,9/14,2012/12/17,2012,12/17
First Commercial Bank,Bloomington,MN,35246,Republic Bank & Trust Company,2012/9/7,2012,9/7,2018/7/10,2018,7/10
Waukegan Savings Bank,Waukegan,IL,28243,First Midwest Bank,2012/8/3,2012,8/3,2015/12/7,2015,12/7
Jasper Banking Company,Jasper,GA,16240,Stearns Bank N.A.,2012/7/27,2012,7/27,2014/3/21,2014,3/21
Second Federal Savings and Loan Association of Chicago,Chicago,IL,27986,Hinsdale Bank & Trust Company,2012/7/20,2012,7/20,2018/1/3,2018,1/3
Heartland Bank,Leawood,KS,1361,Metcalf Bank,2012/7/20,2012,7/20,2013/7/30,2013,7/30
First Cherokee State Bank,Woodstock,GA,32711,Community & Southern Bank,2012/7/20,2012,7/20,2017/10/6,2017,10/6
Georgia Trust Bank,Buford,GA,57847,Community & Southern Bank,2012/7/20,2012,7/20,2017/10/6,2017,10/6
The Royal Palm Bank of Florida,Naples,FL,57096,First National Bank of the Gulf Coast,2012/7/20,2012,7/20,2014/3/21,2014,3/21
Glasgow Savings Bank,Glasgow,MO,1056,Regional Missouri Bank,2012/7/13,2012,7/13,2014/8/19,2014,8/19
Montgomery Bank & Trust,Ailey,GA,19498,Ameris Bank,2012/7/6,2012,7/6,2014/3/21,2014,3/21
The Farmers Bank of Lynchburg,Lynchburg,TN,1690,Clayton Bank and Trust,2012/6/15,2012,6/15,2016/8/8,2016,8/8
Security Exchange Bank,Marietta,GA,35299,Fidelity Bank,2012/6/15,2012,6/15,2014/3/21,2014,3/21
Putnam State Bank,Palatka,FL,27405,Harbor Community Bank,2012/6/15,2012,6/15,2018/2/13,2018,2/13
Waccamaw Bank,Whiteville,NC,34515,First Community Bank,2012/6/8,2012,6/8,2014/3/21,2014,3/21
Farmers' and Traders' State Bank,Shabbona,IL,9257,First State Bank,2012/6/8,2012,6/8,2012/10/10,2012,10/10
Carolina Federal Savings Bank,Charleston,SC,35372,Bank of North Carolina,2012/6/8,2012,6/8,2014/3/21,2014,3/21
First Capital Bank,Kingfisher,OK,416,F & M Bank,2012/6/8,2012,6/8,2015/2/5,2015,2/5
"Alabama Trust Bank, National Association",Sylacauga,AL,35224,Southern States Bank,2012/5/18,2012,5/18,2015/9/21,2015,9/21
"Security Bank, National Association",North Lauderdale,FL,23156,Banesco USA,2012/5/4,2012,5/4,2016/4/12,2016,4/12
Palm Desert National Bank,Palm Desert,CA,23632,Pacific Premier Bank,2012/4/27,2012,4/27,2015/12/7,2015,12/7
Plantation Federal Bank,Pawleys Island,SC,32503,First Federal Bank,2012/4/27,2012,4/27,2016/11/10,2016,11/10
"Inter Savings Bank, fsb D/B/A InterBank, fsb",Maple Grove,MN,31495,Great Southern Bank,2012/4/27,2012,4/27,2013/5/17,2013,5/17
HarVest Bank of Maryland,Gaithersburg,MD,57766,Sonabank,2012/4/27,2012,4/27,2015/9/21,2015,9/21
Bank of the Eastern Shore,Cambridge,MD,26759,No Acquirer,2012/4/27,2012,4/27,2012/10/17,2012,10/17
"Fort Lee Federal Savings Bank, FSB",Fort Lee,NJ,35527,Alma Bank,2012/4/20,2012,4/20,2013/5/17,2013,5/17
Fidelity Bank,Dearborn,MI,33883,The Huntington National Bank,2012/3/30,2012,3/30,2014/2/4,2014,2/4
Premier Bank,Wilmette,IL,35419,International Bank of Chicago,2012/3/23,2012,3/23,2012/10/17,2012,10/17
Covenant Bank & Trust,Rock Spring,GA,58068,"Stearns Bank, N.A.",2012/3/23,2012,3/23,2014/3/21,2014,3/21
New City Bank,Chicago,IL,57597,No Acquirer,2012/3/9,2012,3/9,2012/10/29,2012,10/29
Global Commerce Bank,Doraville,GA,34046,Metro City Bank,2012/3/2,2012,3/2,2014/6/26,2014,6/26
Home Savings of America,Little Falls,MN,29178,No Acquirer,2012/2/24,2012,2/24,2012/12/17,2012,12/17
Central Bank of Georgia,Ellaville,GA,5687,Ameris Bank,2012/2/24,2012,2/24,2014/3/21,2014,3/21
SCB Bank,Shelbyville,IN,29761,"First Merchants Bank, National Association",2012/2/10,2012,2/10,2015/2/19,2015,2/19
Charter National Bank and Trust,Hoffman Estates,IL,23187,"Barrington Bank & Trust Company, National Association",2012/2/10,2012,2/10,2013/3/25,2013,3/25
BankEast,Knoxville,TN,19869,"U.S. Bank, N.A.",2012/1/27,2012,1/27,2015/12/7,2015,12/7
Patriot Bank Minnesota,Forest Lake,MN,34823,First Resource Bank,2012/1/27,2012,1/27,2017/11/13,2017,11/13
Tennessee Commerce Bank,Franklin,TN,35296,Republic Bank & Trust Company,2012/1/27,2012,1/27,2014/3/21,2014,3/21
First Guaranty Bank and Trust Company of Jacksonville,Jacksonville,FL,16579,"CenterState Bank of Florida, N.A.",2012/1/27,2012,1/27,2016/7/11,2016,7/11
American Eagle Savings Bank,Boothwyn,PA,31581,"Capital Bank, N.A.",2012/1/20,2012,1/20,2018/2/21,2018,2/21
The First State Bank,Stockbridge,GA,19252,Hamilton State Bank,2012/1/20,2012,1/20,2014/3/21,2014,3/21
